b2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s1.8 s1.6 s1.4 s1.2 s1.0 s1.2 h0.0 s1.0 s1.0 
s3.0 s3.0 s3.0 s3.0 s3.0 s3.0 s2.8 s2.6 s2.4 s2.2 s2.2 s2.2 s2.0 s2.0 s0.5 
s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s2.0 s0.0 
s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 e0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0  
h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 
s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s1.0 h0.0 s1.0 h0.0 s1.0 
h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 
s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 
h0.0 s0.0 h0.0 s1.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s1.0 h0.0 
s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 
h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 
s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 
h0.0 s1.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 
s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 h0.0 s0.0 h0.0 s0.0 h0.0 s1.0 
h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 s0.0 h0.0 
